Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Rec Yds,Y/Rec,Rec TD,Rec 1D,Rec Lng,Rec/G,Rec Y/G,Ctch%,Y/Tgt,Att,Rush Yds,Rush TD,Rush 1D,Rush Lng,Rush Y/A,Rush Y/G,Rush A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Player ID
145,Zach Zenner,DET,25,RB,14,4,23,18,196,10.9,0,9,33,1.3,14.0,78.3%,8.5,88,334,4,23,20,3.8,23.9,6.3,106,5.0,530,4,1,ZennZa00
146,John Brown,ARI,26,WR,15,6,73,39,517,13.3,2,28,30,2.6,34.5,53.4%,7.1,1,10,0,1,10,10.0,0.7,0.1,40,13.2,527,2,1,BrowJo02
147,Tajae Sharpe,TEN,22,WR,16,10,83,41,522,12.7,2,27,34,2.6,32.6,49.4%,6.3,1,1,0,0,1,1.0,0.1,0.1,42,12.5,523,2,0,SharTa00
148,Jermaine Kearse,SEA,26,WR,16,15,89,41,510,12.4,1,24,36,2.6,31.9,46.1%,5.7,,,,0,,,,,41,12.4,510,1,0,KearJe01
149,Breshad Perriman,BAL,23,WR,16,1,66,33,499,15.1,3,19,53,2.1,31.2,50.0%,7.6,1,2,0,0,2,2.0,0.1,0.1,34,14.7,501,3,0,PerrBr02
150,Lance Kendricks,LAR,28,TE,16,16,87,50,499,10.0,2,22,44,3.1,31.2,57.5%,5.7,,,,0,,,,,50,10.0,499,2,1,KendLa00
151,Cordarrelle Patterson*+,MIN,25,WR,16,8,70,52,453,8.7,2,23,39,3.3,28.3,74.3%,6.5,7,43,0,2,22,6.1,2.7,0.4,59,8.4,496,2,2,PattCo00
152,Fozzy Whittaker,CAR,27,RB,16,0,33,25,226,9.0,0,11,25,1.6,14.1,75.8%,6.8,57,265,0,10,25,4.6,16.6,3.6,82,6.0,491,0,1,WhitFo00
153,Rex Burkhead,CIN,26,RB,16,1,20,17,145,8.5,0,9,18,1.1,9.1,85.0%,7.3,74,344,2,24,17,4.6,21.5,4.6,91,5.4,489,2,1,BurkRe00
154,Michael Floyd,2TM,27,WR,15,8,76,37,488,13.2,5,0,39,2.5,32.5,48.7%,6.4,,,,0,,,,,37,13.2,488,5,0,FloyMi00
155,Zach Miller,CHI,32,TE,10,8,64,47,486,10.3,4,28,34,4.7,48.6,73.4%,7.6,,,,0,,,,,47,10.3,486,4,0,MillZa02
156,Charcandrick West,KAN,25,RB,15,2,34,28,188,6.7,2,11,28,1.9,12.5,82.4%,5.5,88,293,1,15,28,3.3,19.5,5.9,116,4.1,481,3,0,WestCh01
157,Hunter Henry,SDG,22,TE,15,10,53,36,478,13.3,8,30,59,2.4,31.9,67.9%,9.0,,,,0,,,,,36,13.3,478,8,1,HenrHu00
158,Allen Hurns,JAX,25,WR,11,11,76,35,477,13.6,3,23,42,3.2,43.4,46.1%,6.3,,,,0,,,,,35,13.6,477,3,1,HurnAl01
159,Colin Kaepernick,SFO,29,QB,12,11,0,0,0,,0,0,0,0.0,0.0,0.0%,,69,468,2,29,30,6.8,39.0,5.8,69,6.8,468,2,9,KaepCo00
160,DeAngelo Williams,PIT,33,RB,9,4,27,18,118,6.6,2,6,20,2.0,13.1,66.7%,4.4,98,343,4,22,17,3.5,38.1,10.9,116,4.0,461,6,0,WillDe02
161,Alfred Blue,HOU,25,RB,14,2,16,12,40,3.3,0,1,12,0.9,2.9,75.0%,2.5,100,420,1,23,25,4.2,30.0,7.1,112,4.1,460,1,2,BlueAl00
162,Shaun Draughn,SFO,29,RB,16,1,39,29,263,9.1,2,10,29,1.8,16.4,74.4%,6.7,74,196,4,15,18,2.6,12.3,4.6,103,4.5,459,6,1,DrauSh00
163,Sammie Coates,PIT,23,WR,14,5,49,21,435,20.7,2,16,72,1.5,31.1,42.9%,8.9,4,14,0,1,15,3.5,1.0,0.3,25,18.0,449,2,0,CoatSa00
164,Thomas Rawls,SEA,23,RB,9,7,17,13,96,7.4,0,4,20,1.4,10.7,76.5%,5.6,109,349,3,22,45,3.2,38.8,12.1,122,3.6,445,3,0,RawlTh00
165,Ryan Griffin,HOU,26,TE,16,5,74,50,442,8.8,2,19,45,3.1,27.6,67.6%,6.0,,,,0,,,,,50,8.8,442,2,1,GrifRy00
166,Marquise Goodwin,BUF,26,WR,15,9,68,29,431,14.9,3,20,84,1.9,28.7,42.6%,6.3,,,,0,,,,,29,14.9,431,3,0,GoodMa00
167,Kendall Wright,TEN,27,WR,11,4,42,29,416,14.3,3,18,48,2.6,37.8,69.0%,9.9,1,15,0,1,15,15.0,1.4,0.1,30,14.4,431,3,0,WrigKe01
168,Sammy Watkins,BUF,23,WR,8,8,52,28,430,15.4,2,20,62,3.5,53.8,53.8%,8.3,,,,0,,,,,28,15.4,430,2,0,WatkSa00
169,Corey Coleman,CLE,22,WR,10,10,73,33,413,12.5,3,18,58,3.3,41.3,45.2%,5.7,2,10,0,0,9,5.0,1.0,0.2,35,12.1,423,3,0,ColeCo00
170,Quinton Patton,SFO,26,WR,14,14,63,37,408,11.0,0,22,45,2.6,29.1,58.7%,6.5,,,,0,,,,,37,11.0,408,0,1,PattQu00
171,Dwayne Allen,IND,26,TE,14,14,52,35,406,11.6,6,25,23,2.5,29.0,67.3%,7.8,,,,0,,,,,35,11.6,406,6,1,AlleDw00
172,Malcolm Mitchell,NWE,24,WR,14,6,48,32,401,12.5,4,23,56,2.3,28.6,66.7%,8.4,,,,0,,,,,32,12.5,401,4,0,MitcMa01
173,Seth Roberts,OAK,25,WR,16,6,77,38,397,10.4,5,22,41,2.4,24.8,49.4%,5.2,,,,0,,,,,38,10.4,397,5,0,RobeSe00
174,Will Tye,NYG,25,TE,16,10,70,48,395,8.2,1,16,27,3.0,24.7,68.6%,5.6,,,,0,,,,,48,8.2,395,1,0,TyexWi00
175,Tyler Eifert,CIN,26,TE,8,2,47,29,394,13.6,5,23,71,3.6,49.3,61.7%,8.4,,,,0,,,,,29,13.6,394,5,0,EifeTy00
176,Dorial Green-Beckham,PHI,23,WR,15,7,74,36,392,10.9,2,25,26,2.4,26.1,48.6%,5.3,,,,0,,,,,36,10.9,392,2,0,GreeDo00
177,Jermaine Gresham,ARI,28,TE,16,14,61,37,391,10.6,2,19,34,2.3,24.4,60.7%,6.4,,,,0,,,,,37,10.6,391,2,1,GresJe00
178,Vance McDonald,SFO,26,WR,11,11,45,24,391,16.3,4,13,75,2.2,35.5,53.3%,8.7,,,,0,,,,,24,16.3,391,4,0,McDoVa00
179,Eddie Lacy,GNB,26,RB,5,5,7,4,28,7.0,0,1,17,0.8,5.6,57.1%,4.0,71,360,0,15,31,5.1,72.0,14.2,75,5.2,388,0,0,LacyEd00
180,C.J. Prosise,SEA,22,RB,6,2,19,17,208,12.2,0,8,43,2.8,34.7,89.5%,10.9,30,172,1,4,72,5.7,28.7,5.0,47,8.1,380,1,0,ProsC.00
181,Nelson Agholor,PHI,23,WR,15,14,69,36,365,10.1,2,15,40,2.4,24.3,52.2%,5.3,5,14,0,0,5,2.8,0.9,0.3,41,9.2,379,2,1,AghoNe00
182,Blake Bortles,JAX,24,QB,16,16,1,1,20,20.0,1,1,20,0.1,1.3,100.0%,20.0,58,359,3,20,27,6.2,22.4,3.6,59,6.4,379,4,8,BortBl00
183,Jared Cook,GNB,29,TE,10,5,51,30,377,12.6,1,19,47,3.0,37.7,58.8%,7.4,,,,0,,,,,30,12.6,377,1,1,CookJa02
184,Dion Lewis,NWE,26,RB,7,5,24,17,94,5.5,0,4,16,2.4,13.4,70.8%,3.9,64,283,0,14,15,4.4,40.4,9.1,81,4.7,377,0,1,LewiDi00
185,Justin Forsett,3TM,31,RB,9,6,27,20,85,4.3,0,0,11,2.2,9.4,74.1%,3.1,87,291,1,0,64,3.3,32.3,9.7,107,3.5,376,1,2,ForsJu00
186,Devin Funchess,CAR,22,WR,15,7,58,23,371,16.1,4,20,48,1.5,24.7,39.7%,6.4,,,,0,,,,,23,16.1,371,4,0,FuncDe00
187,Aaron Rodgers*,GNB,33,QB,16,16,0,0,0,,0,0,0,0.0,0.0,0.0%,,67,369,4,26,23,5.5,23.1,4.2,67,5.5,369,4,8,RodgAa00
188,Eddie Royal,CHI,30,WR,9,1,43,33,369,11.2,2,16,64,3.7,41.0,76.7%,8.6,,,,0,,,,,33,11.2,369,2,2,RoyaEd00
189,Wendell Smallwood,PHI,22,RB,13,3,13,6,55,9.2,0,1,18,0.5,4.2,46.2%,4.2,77,312,1,20,19,4.1,24.0,5.9,83,4.4,367,1,1,SmalWe00
190,Damien Williams,MIA,24,RB,15,0,32,23,249,10.8,3,10,58,1.5,16.6,71.9%,7.8,35,115,3,9,23,3.3,7.7,2.3,58,6.3,364,6,1,WillDa05
191,Cam Newton,CAR,27,QB,15,14,0,0,0,,0,0,0,0.0,0.0,0.0%,,90,359,5,28,28,4.0,23.9,6.0,90,4.0,359,5,3,NewtCa00
192,Clive Walford,OAK,25,TE,15,8,52,33,359,10.9,3,19,31,2.2,23.9,63.5%,6.9,,,,0,,,,,33,10.9,359,3,0,WalfCl00
193,Garrett Celek,SFO,28,TE,16,6,50,29,350,12.1,3,20,31,1.8,21.9,58.0%,7.0,,,,0,,,,,29,12.1,350,3,2,CeleGa00
194,Russell Shepard,TAM,26,WR,14,4,40,23,341,14.8,2,19,24,1.6,24.4,57.5%,8.5,1,9,0,0,9,9.0,0.6,0.1,24,14.6,350,2,0,ShepRu00
195,Marcus Mariota,TEN,23,QB,15,15,1,0,0,,0,0,0,0.0,0.0,0.0%,0.0,60,349,2,22,41,5.8,23.3,4.0,60,5.8,349,2,10,MariMa01
196,Robert Turbin,IND,27,RB,15,0,35,26,179,6.9,1,9,19,1.7,11.9,74.3%,5.1,47,164,7,20,18,3.5,10.9,3.1,73,4.7,343,8,0,TurbRo00
197,Jeremy Langford,CHI,25,RB,12,3,27,19,142,7.5,0,7,19,1.6,11.8,70.4%,5.3,62,200,4,12,23,3.2,16.7,5.2,81,4.2,342,4,2,LangJe00
198,Andrew Luck,IND,27,QB,15,15,0,0,0,,0,0,0,0.0,0.0,0.0%,,64,341,2,20,33,5.3,22.7,4.3,64,5.3,341,2,6,LuckAn00
199,Charles Sims,TAM,26,RB,7,2,32,24,190,7.9,1,10,33,3.4,27.1,75.0%,5.9,51,149,1,6,23,2.9,21.3,7.3,75,4.5,339,2,1,SimsCh00
200,Jesse James,PIT,22,TE,16,13,60,39,338,8.7,3,20,24,2.4,21.1,65.0%,5.6,,,,0,,,,,39,8.7,338,3,0,JameJe00
201,Albert Wilson,KAN,24,WR,16,5,51,31,279,9.0,2,11,42,1.9,17.4,60.8%,5.5,2,50,1,1,55,25.0,3.1,0.1,33,10.0,329,3,0,WilsAl02
202,Kamar Aiken,BAL,27,WR,16,6,50,29,328,11.3,1,18,29,1.8,20.5,58.0%,6.6,,,,0,,,,,29,11.3,328,1,0,AikeKa00
203,Trey Burton,PHI,25,TE,15,4,60,37,327,8.8,1,21,32,2.5,21.8,61.7%,5.5,,,,0,,,,,37,8.8,327,1,0,BurtTr01
204,Dwayne Washington,DET,22,RB,12,2,15,10,62,6.2,0,5,11,0.8,5.2,66.7%,4.1,90,265,1,11,28,2.9,22.1,7.5,100,3.3,327,1,0,WashDw00
205,Andrew Hawkins,CLE,30,WR,16,5,54,33,324,9.8,3,20,33,2.1,20.3,61.1%,6.0,2,0,0,0,1,0.0,0.0,0.1,35,9.3,324,3,0,HawkAn00
206,Aldrick Robinson,ATL,28,WR,16,1,32,20,323,16.2,2,14,59,1.3,20.2,62.5%,10.1,,,,0,,,,,20,16.2,323,2,0,RobiAl00
207,Josh Bellamy,CHI,27,WR,16,2,38,19,282,14.8,1,13,31,1.2,17.6,50.0%,7.4,4,37,0,2,22,9.3,2.3,0.3,23,13.9,319,1,0,BellJo02
208,Donte Moncrief,IND,23,WR,9,7,56,30,307,10.2,7,22,39,3.3,34.1,53.6%,5.5,1,-1,0,0,-1,-1.0,-0.1,0.1,31,9.9,306,7,0,MoncDo00
209,Ladarius Green,PIT,26,TE,6,2,34,18,304,16.9,1,12,37,3.0,50.7,52.9%,8.9,,,,0,,,,,18,16.9,304,1,0,GreeLa00
210,Travaris Cadet,NOR,27,RB,15,1,54,40,281,7.0,4,18,25,2.7,18.7,74.1%,5.2,4,19,0,1,16,4.8,1.3,0.3,44,6.8,300,4,0,CadeTr00
211,Erik Swoope,IND,24,TE,16,4,22,15,297,19.8,1,12,45,0.9,18.6,68.2%,13.5,,,,0,,,,,15,19.8,297,1,0,SwooEr00
212,Paul Richardson,SEA,24,WR,15,0,36,21,288,13.7,1,17,39,1.4,19.2,58.3%,8.0,1,5,0,1,5,5.0,0.3,0.1,22,13.3,293,1,0,RichPa01
213,Kyle Juszczyk*,BAL,25,RB,16,7,49,37,266,7.2,0,12,40,2.3,16.6,75.5%,5.4,5,22,1,3,10,4.4,1.4,0.3,42,6.9,288,1,0,JuszKy00
214,Corey Brown,CAR,25,WR,16,8,53,27,276,10.2,1,16,27,1.7,17.3,50.9%,5.2,2,6,0,0,9,3.0,0.4,0.1,29,9.7,282,1,1,BrowPh00
215,Dak Prescott*,DAL,23,QB,16,16,0,0,0,,0,0,0,0.0,0.0,0.0%,,57,282,6,21,18,4.9,17.6,3.6,57,4.9,282,6,9,PresDa01
216,Brandon Coleman,NOR,24,WR,16,4,38,26,281,10.8,3,16,38,1.6,17.6,68.4%,7.4,,,,0,,,,,26,10.8,281,3,0,ColeBr00
217,Julius Thomas,JAX,28,TE,9,6,51,30,281,9.4,4,15,24,3.3,31.2,58.8%,5.5,,,,0,,,,,30,9.4,281,4,0,ThomJu00
218,James Starks,GNB,30,RB,9,4,25,19,134,7.1,2,5,31,2.1,14.9,76.0%,5.4,63,145,0,9,11,2.3,16.1,7.0,82,3.4,279,2,1,StarJa00
219,Jamize Olawale,OAK,27,RB,16,7,14,12,227,18.9,1,5,75,0.8,14.2,85.7%,16.2,17,47,2,5,17,2.8,2.9,1.1,29,9.4,274,3,0,OlawJa00
220,Chester Rogers,IND,22,WR,14,2,34,19,273,14.4,0,13,36,1.4,19.5,55.9%,8.0,,,,0,,,,,19,14.4,273,0,2,RogeCh02
221,Russell Wilson,SEA,28,QB,16,16,2,2,14,7.0,1,1,15,0.1,0.9,100.0%,7.0,72,259,1,18,18,3.6,16.2,4.5,74,3.7,273,2,8,WilsRu00
222,Austin Hooper,ATL,22,TE,14,3,27,19,271,14.3,3,16,44,1.4,19.4,70.4%,10.0,,,,0,,,,,19,14.3,271,3,0,HoopAu00
223,Richard Rodgers,GNB,24,TE,16,6,47,30,271,9.0,2,15,22,1.9,16.9,63.8%,5.8,,,,0,,,,,30,9.0,271,2,0,RodgRi00
224,Torrey Smith,SFO,27,WR,12,12,49,20,267,13.4,3,14,53,1.7,22.3,40.8%,5.4,,,,0,,,,,20,13.4,267,3,0,SmitTo02
225,Levine Toilolo,ATL,25,TE,16,11,19,13,264,20.3,2,11,46,0.8,16.5,68.4%,13.9,,,,0,,,,,13,20.3,264,2,0,ToilLe00
226,Kenneth Farrow,SDG,23,RB,13,2,16,13,70,5.4,0,2,16,1.0,5.4,81.3%,4.4,60,192,0,11,11,3.2,14.8,4.6,73,3.6,262,0,2,FarrKe02
227,Dion Sims,MIA,25,TE,14,11,35,26,256,9.8,4,14,28,1.9,18.3,74.3%,7.3,,,,0,,,,,26,9.8,256,4,0,SimsDi00
228,Alfred Morris,DAL,28,RB,14,0,6,3,11,3.7,0,0,6,0.2,0.8,50.0%,1.8,69,243,2,15,17,3.5,17.4,4.9,72,3.5,254,2,0,MorrAl00
229,DuJuan Harris,SFO,28,RB,10,1,9,8,115,14.4,1,4,47,0.8,11.5,88.9%,12.8,38,138,0,6,19,3.6,13.8,3.8,46,5.5,253,1,2,HarrDu01
230,Shane Vereen,NYG,27,RB,5,1,19,11,94,8.5,0,4,16,2.2,18.8,57.9%,4.9,33,158,1,9,25,4.8,31.6,6.6,44,5.7,252,1,2,VereSh00
231,Peyton Barber,TAM,22,RB,15,1,6,5,28,5.6,0,1,11,0.3,1.9,83.3%,4.7,55,223,1,10,44,4.1,14.9,3.7,60,4.2,251,1,0,BarbPe01
232,Deonte Thompson,CHI,27,WR,16,6,36,22,249,11.3,2,18,24,1.4,15.6,61.1%,6.9,,,,0,,,,,22,11.3,249,2,1,ThomDe04
233,Danny Amendola,NWE,31,WR,12,4,29,23,243,10.6,4,14,32,1.9,20.3,79.3%,8.4,,,,0,,,,,23,10.6,243,4,3,AmenDa00
234,Virgil Green,DEN,28,TE,12,11,37,22,237,10.8,1,13,31,1.8,19.8,59.5%,6.4,,,,0,,,,,22,10.8,237,1,0,GreeVi00
235,Bryan Walters,JAX,29,WR,10,3,34,24,231,9.6,2,15,23,2.4,23.1,70.6%,6.8,1,4,0,1,4,4.0,0.4,0.1,25,9.4,235,2,1,WaltBr00
236,Cobi Hamilton,PIT,26,WR,11,8,28,17,234,13.8,2,13,39,1.5,21.3,60.7%,8.4,,,,0,,,,,17,13.8,234,2,0,HamiCo00
237,C.J. Uzomah,CIN,23,TE,10,8,38,25,234,9.4,1,14,54,2.5,23.4,65.8%,6.2,,,,0,,,,,25,9.4,234,1,0,UzomC.00
238,Charles Johnson,MIN,27,WR,16,7,37,20,232,11.6,0,11,40,1.3,14.5,54.1%,6.3,,,,0,,,,,20,11.6,232,0,0,JohnCh08
239,Jordan Norwood,DEN,30,WR,14,6,35,21,232,11.0,1,9,36,1.5,16.6,60.0%,6.6,1,0,0,0,0,0.0,0.0,0.1,22,10.5,232,1,5,NorwJo00
240,Kenyan Drake,MIA,22,RB,16,1,10,9,46,5.1,0,2,9,0.6,2.9,90.0%,4.6,33,179,2,9,45,5.4,11.2,2.1,42,5.4,225,2,1,DrakKe00
241,Ronnie Hillman,2TM,25,RB,8,1,15,7,93,13.3,0,0,32,0.9,11.6,46.7%,6.2,41,131,0,0,17,3.2,16.4,5.1,48,4.7,224,0,0,HillRo00
242,Brice Butler,DAL,26,WR,16,3,32,16,219,13.7,3,11,41,1.0,13.7,50.0%,6.8,,,,0,,,,,16,13.7,219,3,0,ButlBr00
243,Bobby Rainey,NYG,29,RB,15,0,25,20,153,7.7,0,7,24,1.3,10.2,80.0%,6.1,17,63,0,4,14,3.7,4.2,1.1,37,5.8,216,0,1,RainBo00
244,Harry Douglas,TEN,32,WR,11,2,22,15,210,14.0,0,9,35,1.4,19.1,68.2%,9.5,,,,0,,,,,15,14.0,210,0,0,DougHa00
245,Jacob Tamme,ATL,31,TE,8,5,31,22,210,9.5,3,13,19,2.8,26.3,71.0%,6.8,,,,0,,,,,22,9.5,210,3,0,TammJa00
246,Alex Collins,SEA,22,RB,11,0,11,11,84,7.6,0,6,14,1.0,7.6,100.0%,7.6,31,125,1,8,26,4.0,11.4,2.8,42,5.0,209,1,2,CollAl00
247,Jordan Taylor,DEN,24,WR,16,0,25,16,209,13.1,2,10,35,1.0,13.1,64.0%,8.4,,,,0,,,,,16,13.1,209,2,1,TaylJo01
248,Matthew Stafford,DET,28,QB,16,16,1,0,0,,0,0,0,0.0,0.0,0.0%,0.0,37,207,2,16,24,5.6,12.9,2.3,37,5.6,207,2,3,StafMa00
249,Ricardo Louis,CLE,22,WR,16,3,35,18,205,11.4,0,7,42,1.1,12.8,51.4%,5.9,,,,0,,,,,18,11.4,205,0,1,LouiRi00
250,Kapri Bibbs,DEN,23,RB,12,0,4,2,75,37.5,1,1,69,0.2,6.3,50.0%,18.8,29,129,0,7,24,4.4,10.8,2.4,31,6.6,204,1,0,BibbKa00
251,Justin Hardy,ATL,25,WR,16,3,31,21,203,9.7,4,17,27,1.3,12.7,67.7%,6.5,,,,0,,,,,21,9.7,203,4,0,HardJu00
252,Geronimo Allison,GNB,22,WR,10,2,22,12,202,16.8,2,11,39,1.2,20.2,54.5%,9.2,,,,0,,,,,12,16.8,202,2,0,AlliGe01
253,Cody Core,CIN,22,WR,8,4,27,17,200,11.8,0,7,50,2.1,25.0,63.0%,7.4,,,,0,,,,,17,11.8,200,0,0,CoreCo00
254,Corey Grant,JAX,25,RB,11,1,7,4,35,8.8,1,2,15,0.4,3.2,57.1%,5.0,32,164,1,7,57,5.1,14.9,2.9,36,5.5,199,2,0,GranCo00
255,Jonathan Grimes,HOU,27,RB,10,0,18,13,94,7.2,0,4,15,1.3,9.4,72.2%,5.2,23,105,0,6,14,4.6,10.5,2.3,36,5.5,199,0,0,GrimJo01
256,Aaron Ripkowski,GNB,24,RB,16,8,10,9,46,5.1,1,2,9,0.6,2.9,90.0%,4.6,34,150,2,12,15,4.4,9.4,2.1,43,4.6,196,3,0,RipkAa00
257,Kevin White,CHI,24,WR,4,4,36,19,187,9.8,0,8,32,4.8,46.8,52.8%,5.2,1,9,0,0,9,9.0,2.3,0.3,20,9.8,196,0,0,WhitKe00
258,Eric Decker,NYJ,29,WR,3,3,21,9,194,21.6,2,9,35,3.0,64.7,42.9%,9.2,,,,0,,,,,9,21.6,194,2,0,DeckEr00
259,Benny Cunningham,LAR,26,RB,11,0,21,16,91,5.7,0,5,12,1.5,8.3,76.2%,4.3,21,101,0,4,24,4.8,9.2,1.9,37,5.2,192,0,1,CunnBe01
260,Mychal Rivera,OAK,26,TE,13,2,25,18,192,10.7,1,11,27,1.4,14.8,72.0%,7.7,,,,0,,,,,18,10.7,192,1,0,RiveMy00
261,Rod Streater,SFO,28,WR,16,2,27,18,191,10.6,2,13,25,1.1,11.9,66.7%,7.1,,,,0,,,,,18,10.6,191,2,0,StreRo00
262,Robert Griffin III,CLE,26,QB,5,5,0,0,0,,0,0,0,0.0,0.0,0.0%,,31,190,2,10,20,6.1,38.0,6.2,31,6.1,190,2,4,GrifRo01
263,Justin Hunter,2TM,25,WR,13,5,23,10,189,18.9,4,0,64,0.8,14.5,43.5%,8.2,,,,0,,,,,10,18.9,189,4,0,HuntJu00
264,Andre Roberts,DET,28,WR,16,1,25,14,188,13.4,1,9,44,0.9,11.8,56.0%,7.5,,,,0,,,,,14,13.4,188,1,2,RobeAn00
265,Jaron Brown,ARI,26,WR,7,2,22,11,187,17.0,1,6,51,1.6,26.7,50.0%,8.5,,,,0,,,,,11,17.0,187,1,0,BrowJa03
266,Charone Peake,NYJ,24,WR,15,1,35,19,186,9.8,0,7,27,1.3,12.4,54.3%,5.3,,,,0,,,,,19,9.8,186,0,0,PeakCh00
267,Mike Tolbert*,CAR,31,RB,16,2,15,10,72,7.2,1,4,17,0.6,4.5,66.7%,4.8,35,114,0,5,14,3.3,7.1,2.2,45,4.1,186,1,0,TolbMi00
268,Andy Dalton*,CIN,29,QB,16,16,0,0,0,,0,0,0,0.0,0.0,0.0%,,46,184,4,17,15,4.0,11.5,2.9,46,4.0,184,4,9,DaltAn00
269,Ka'Deem Carey,CHI,24,RB,12,0,7,5,55,11.0,0,4,16,0.4,4.6,71.4%,7.9,32,126,0,4,24,3.9,10.5,2.7,37,4.9,181,0,0,CareKa00
270,Andre Ellington,ARI,27,RB,16,0,19,12,85,7.1,0,5,16,0.8,5.3,63.2%,4.5,34,96,0,4,13,2.8,6.0,2.1,46,3.9,181,0,0,ElliAn00
271,MarQueis Gray,MIA,27,TE,16,7,17,14,174,12.4,0,7,53,0.9,10.9,82.4%,10.2,,,,0,,,,,14,12.4,174,0,0,GrayMa00
272,Darrius Heyward-Bey,PIT,29,WR,10,0,19,6,114,19.0,2,4,46,0.6,11.4,31.6%,6.0,1,60,1,1,60,60.0,6.0,0.1,7,24.9,174,3,0,HeywDa00
273,Vincent Jackson,TAM,33,WR,5,5,32,15,173,11.5,0,8,18,3.0,34.6,46.9%,5.4,,,,0,,,,,15,11.5,173,0,0,JackVi00
274,Kenjon Barner,PHI,27,RB,13,0,11,5,42,8.4,0,3,15,0.4,3.2,45.5%,3.8,27,129,2,9,19,4.8,9.9,2.1,32,5.3,171,2,0,BarnKe00
275,Marcedes Lewis,JAX,32,TE,10,10,30,20,169,8.5,1,9,37,2.0,16.9,66.7%,5.6,,,,0,,,,,20,8.5,169,1,0,LewiMa00
276,Denard Robinson,JAX,26,WR,13,1,5,3,22,7.3,0,1,11,0.2,1.7,60.0%,4.4,41,144,0,4,9,3.5,11.1,3.2,44,3.8,166,0,0,RobiDe00
277,Brandon Tate,BUF,29,WR,15,1,12,8,117,14.6,0,6,34,0.5,7.8,66.7%,9.8,3,48,0,2,30,16.0,3.2,0.2,11,15.0,165,0,0,TateBr00
278,Jameis Winston,TAM,22,QB,16,16,0,0,0,,0,0,0,0.0,0.0,0.0%,,53,165,1,13,14,3.1,10.3,3.3,53,3.1,165,1,10,WinsJa00
279,Ryan Tannehill,MIA,28,QB,13,13,0,0,0,,0,0,0,0.0,0.0,0.0%,,39,164,1,11,18,4.2,12.6,3.0,39,4.2,164,1,9,TannRy00
280,Kerwynn Williams,ARI,25,RB,10,0,2,1,6,6.0,0,0,6,0.1,0.6,50.0%,3.0,18,157,2,8,49,8.7,15.7,1.8,19,8.6,163,2,0,WillKe05
281,Jalin Marshall,NYJ,21,WR,10,1,23,14,162,11.6,2,9,27,1.4,16.2,60.9%,7.0,,,,0,,,,,14,11.6,162,2,4,MarsJa01
282,Terron Ward,ATL,24,RB,5,0,2,1,11,11.0,0,1,11,0.2,2.2,50.0%,5.5,31,151,0,7,45,4.9,30.2,6.2,32,5.1,162,0,0,WardTe00
283,Ben Koyack,JAX,23,TE,14,7,24,19,161,8.5,1,10,17,1.4,11.5,79.2%,6.7,,,,0,,,,,19,8.5,161,1,0,KoyaBe00
284,A.J. Derby,2TM,25,TE,10,3,20,16,160,10.0,0,0,17,1.6,16.0,80.0%,8.0,,,,0,,,,,16,10.0,160,0,1,DerbA.00
285,Marquess Wilson,CHI,24,WR,3,1,16,9,160,17.8,1,8,35,3.0,53.3,56.3%,10.0,,,,0,,,,,9,17.8,160,1,0,WilsMa02
286,Ameer Abdullah,DET,23,RB,2,2,5,5,57,11.4,1,4,18,2.5,28.5,100.0%,11.4,18,101,0,6,24,5.6,50.5,9.0,23,6.9,158,1,0,AbduAm00
287,Blaine Gabbert,SFO,27,QB,6,5,1,1,-16,-16.0,0,0,-16,0.2,-2.7,100.0%,-16.0,40,173,2,16,24,4.3,28.8,6.7,41,3.8,157,2,0,GabbBl00
288,Carson Wentz,PHI,24,QB,16,16,1,1,7,7.0,0,0,7,0.1,0.4,100.0%,7.0,46,150,2,17,17,3.3,9.4,2.9,47,3.3,157,2,14,WentCa00
289,Josh Ferguson,IND,23,RB,16,0,26,20,136,6.8,0,5,14,1.3,8.5,76.9%,5.2,15,20,0,0,11,1.3,1.3,0.9,35,4.5,156,0,1,FergJo02
290,Cameron Artis-Payne,CAR,26,RB,3,3,1,1,11,11.0,0,1,11,0.3,3.7,100.0%,11.0,36,144,2,5,14,4.0,48.0,12.0,37,4.2,155,2,0,ArtiCa00
291,Brent Celek,PHI,31,TE,16,8,19,14,155,11.1,0,8,24,0.9,9.7,73.7%,8.2,,,,0,,,,,14,11.1,155,0,1,CeleBr00
292,Darren Fells,ARI,30,TE,14,7,18,14,154,11.0,1,7,37,1.0,11.0,77.8%,8.6,,,,0,,,,,14,11.0,154,1,0,FellDa01
293,Austin Seferian-Jenkins,2TM,24,TE,9,2,20,13,154,11.8,1,0,30,1.4,17.1,65.0%,7.7,,,,0,,,,,13,11.8,154,1,0,SefeAu00
294,Lance Dunbar,DAL,26,RB,13,0,24,16,122,7.6,0,5,16,1.2,9.4,66.7%,5.1,9,31,1,3,10,3.4,2.4,0.7,25,6.1,153,1,1,DunbLa00
295,Cecil Shorts,TAM,29,WR,9,5,27,11,152,13.8,0,8,22,1.2,16.9,40.7%,5.6,,,,0,,,,,11,13.8,152,0,0,ShorCe00
